Year,Number-of-Households
800,14
801,14
802,14
803,15
804,15
805,14
806,12
807,13
808,14
809,14
810,17
811,18
812,18
813,18
814,19
815,19
816,21
817,21
818,23
819,23
820,21
821,21
822,21
823,21
824,18
825,18
826,18
827,18
828,19
829,23
830,23
831,23
832,23
833,23
834,25
835,26
836,26
837,28
838,30
839,33
840,36
841,37
842,35
843,36
844,36
845,37
846,37
847,38
848,37
849,37
850,36
851,37
852,37
853,40
854,40
855,41
856,42
857,45
858,48
859,47
860,52
861,53
862,53
863,55
864,56
865,60
866,62
867,61
868,62
869,62
870,63
871,67
872,69
873,72
874,77
875,78
876,80
877,80
878,82
879,81
880,82
881,82
882,85
883,86
884,87
